"ANA_HAT_NO";"ALT_HAT_NO";"ANA_HAT_ADI";"ALT_HAT_ADI";"DURAK_SAYISI";"UZUNLUK"
"93";"0";"ÇOMAKLI BORUKTOLU";"ÇOMAKLI BORUKTOLU";"149";"52,652"
"94";"0";"KARADÝÐÝN";"SAMANPAZARI KARADÝÐÝN";"75";"63,76"
"94";"1";"KARADÝÐÝN";"KARADÝÐÝN SAMANPAZARI";"75";"48,575"
"94";"2";"KARADÝÐÝN";"AYKENT KARADÝÐÝN";"83";"0"
"94";"3";"KARADÝÐÝN";"KARADÝÐÝN AYKENT";"83";"0"
"95";"0";"GÖZTEPE AKTARMA";"GÖZTEPE AKTARMA";"15";"0"
"96";"0";"YÜKSELEN";"YÜKSELEN";"118";"48,31"
"97";"0";"DERE TIP SANAYÝ";"DERE TIP SANAYÝ";"141";"49,231"
"97";"1";"DERE TIP SANAYÝ";"TIP ÇEVRE YOLU YAZIR";"100";"45,034"
"97";"2";"DERE TIP SANAYÝ";"TIP SANAYÝ YAZIR";"113";"24,743"
"98";"0";"YAZIR MERAM TIP";"YAZIR MERAM TIP ";"84";"28,742"
"99";"0";"TATKÖY";"TATKÖY";"110";"23,049"
"101";"0";"BEYHEKÝM BOSNA TRAMVAY";"BEYHEKÝM BOSNA TRAMVAY";"90";"0"
"102";"0";"YENÝ KUNDURACILAR";"YENÝ KUNDURACILAR";"105";"40,883"
"103";"0";"FETÝH CAD AYKENT 2. ORGANÝZE";"FETÝH CAD AYKENT 2. ORGANÝZE";"105";"52,066"
"104";"0";"S. EYYUBÝ OSMANCIK TRAMVAY";"S. EYYUBÝ OSMANCIK TRAMVAY";"50";"20,788"
"105";"0";"SARAYKÖY SULUTAS";"SARAYKÖY SULUTAS";"108";"43,737"
"106";"0";"AKÇAKÖÞK";"AKÇAKÖÞK";"97";"30,428"
"107";"0";"ASLIM CAD SANAYÝLER";"ASLIM CAD SANAYÝLER";"137";"27,704"
"108";"0";"KILINÇARSLAN MERAM TIP";"KILINÇARSLAN MERAM TIP";"48";"0"
"109";"0";"TRAMVAY ESKÝ SANAYÝ NEÜ KÖYCEÐÝZ";"TRAMVAY ESKÝ SANAYÝ NEÜ KÖYCEÐÝZ";"39";"0"
"110";"0";"TRAMVAY ESKÝ SANAYÝ NEÜ EÐÝTÝM";"TRAMVAY ESKÝ SANAYÝ NEÜ EÐÝTÝM";"27";"0"
"112";"0";"ÞEHÝR HASTANESÝ ADLÝYE TRAMVAY";"ÞEHÝR HASTANESÝ ADLÝYE TRAMVAY";"13";"0"
"116";"0";"DAÐDERE MEYDAN TRAMVAY";"MEYDAN DAÐDERE TRAMVAY";"32";"0"
"124";"0";"PARSELLER";"PARSELLER";"113";"0"
"124";"1";"PARSELLER";"PARSELLER TRAFO";"125";"0"
"125";"0";"LORAS TELAFER";"LORAS TELAFER";"109";"38,35"
